long,lat,topography,cart_x,cart_y,cart_z
359.7416,-10.1218,-5556.0,6271.780425109846,-28.285487400387897,-1119.6478153470773
359.7583,-10.1218,-5582.0,6271.788403071546,-26.457450477829447,-1119.6478153470773
359.775,-10.1218,-5600.0,6271.79584821502,-24.629411307584874,-1119.6478153470773
359.7917,-10.1218,-5598.0,6271.8027605396355,-22.801370044949202,-1119.6478153470773
359.8083,-10.1218,-5578.0,6271.809103429892,-20.984273217156193,-1119.6478153470773
359.825,-10.1218,-5546.0,6271.814953305615,-19.15622824586477,-1119.6478153470773
359.8416,-10.1218,-5504.0,6271.820240107922,-17.339128038508594,-1119.6478153470773
359.8583,-10.1218,-5470.0,6271.825027532775,-15.511079976046041,-1119.6478153470773
359.875,-10.1218,-5446.0,6271.829282136291,-13.683030595837971,-1119.6478153470773
359.8916,-10.1218,-5438.0,6271.832983217713,-11.865926466788592,-1119.6478153470773
359.9083,-10.1218,-5450.0,6271.836175368068,-10.037874922573739,-1119.6478153470773
359.925,-10.1218,-5476.0,6271.838834696138,-8.209822525593713,-1119.6478153470773
359.9417,-10.1218,-5512.0,6271.8409612016985,-6.381769431150257,-1119.6478153470773
359.9583,-10.1218,-5550.0,6271.842546927282,-4.5646622248230235,-1119.6478153470773
359.975,-10.1218,-5578.0,6271.84361097788,-2.7366082032124694,-1119.6478153470773
359.9916,-10.1218,-5592.0,6271.844140610285,-0.9195003821622852,-1119.6478153470773
359.5083,-10.1383,-5436.0,6271.290574521636,-53.82018192409382,-1121.4539303661768
359.525,-10.1383,-5418.0,6271.30599510107,-51.992286693630184,-1121.4539303661768
359.5417,-10.1383,-5396.0,6271.320882903261,-50.16438704617474,-1121.4539303661768
359.5583,-10.1383,-5378.0,6271.335153554314,-48.34742868178116,-1121.4539303661768
359.575,-10.1383,-5376.0,6271.348978988572,-46.51952069033034,-1121.4539303661768
359.5916,-10.1383,-5396.0,6271.36219363081,-44.70255433877839,-1121.4539303661768
359.6083,-10.1383,-5430.0,6271.3749566924635,-42.87463862079282,-1121.4539303661768
359.625,-10.1383,-5470.0,6271.387186971015,-41.04671926039184,-1121.4539303661768
359.6416,-10.1383,-5500.0,6271.398816006161,-39.22974206874555,-1121.4539303661768
359.6583,-10.1383,-5516.0,6271.40998390577,-37.4018159088965,-1121.4539303661768
359.675,-10.1383,-5512.0,6271.420619019303,-35.57388657159104,-1121.4539303661768
359.6917,-10.1383,-5504.0,6271.430721345853,-33.74595421210932,-1121.4539303661768
359.7083,-10.1383,-5502.0,6271.440235167562,-31.92896471389592,-1121.4539303661768
359.725,-10.1383,-5514.0,6271.449275107974,-30.101026791722553,-1121.4539303661768
